id,name,latitude,longitude,dpcapacity,online_date
456,2112 W Peterson Ave,41.991178,-87.683593,15,5/12/2015
101,63rd St Beach,41.781016,-87.57612,23,4/20/2015
109,900 W Harrison St,41.874675,-87.650019,19,8/6/2013
21,Aberdeen St & Jackson Blvd,41.877726,-87.654787,15,6/21/2013
80,Aberdeen St & Monroe St,41.880456,-87.653929,19,6/26/2013
346,Ada St & Washington Blvd,41.88283,-87.661206,15,10/10/2013
341,Adler Planetarium,41.866095,-87.607267,19,10/9/2013
444,Albany Ave & 26th St,41.844475,-87.702013,19,4/29/2015
511,Albany Ave & Bloomingdale Ave,41.914027,-87.705126,15,5/9/2015
376,Artesian Ave & Hubbard St,41.889492,-87.688219,35,4/27/2015
275,Ashland Ave & 13th St,41.865234,-87.666507,15,9/12/2013
208,Ashland Ave & 21st St,41.85381,-87.665897,15,8/15/2013
555,Ashland Ave & 50th St,41.803023,-87.664699,11,6/17/2016
563,Ashland Ave & 63rd St,41.779374,-87.664843,15,6/20/2016
565,Ashland Ave & 66th St,41.774074,-87.663815,11,6/21/2016
566,Ashland Ave & 69th St,41.768726,-87.664069,11,6/23/2016
368,Ashland Ave & Archer Ave,41.839209,-87.66561,19,4/13/2015
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15,6/22/2013
246,Ashland Ave & Belle Plaine Ave,41.956061,-87.668869,11,8/26/2013
333,Ashland Ave & Blackhawk St,41.907066,-87.667252,15,9/27/2013
350,Ashland Ave & Chicago Ave,41.895966,-87.667747,15,10/22/2013
210,Ashland Ave & Division St,41.90345,-87.667747,19,8/16/2013
558,Ashland Ave & Garfield Blvd,41.792822,-87.664429,11,6/20/2016
347,Ashland Ave & Grace St,41.950687,-87.6687,15,10/12/2013
277,Ashland Ave & Grand Ave,41.891072,-87.666611,15,9/12/2013
383,Ashland Ave & Harrison St,41.874291,-87.667246,23,4/27/2015
119,Ashland Ave & Lake St,41.88541,-87.66732,19,7/28/2013
552,Ashland Ave & McDowell Ave,41.80887,-87.66454,11,6/17/2016
547,Ashland Ave & Pershing Rd,41.823465,-87.665577,11,6/16/2016
250,Ashland Ave & Wellington Ave,41.936083,-87.669807,19,8/26/2013
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,15,7/25/2013
532,Austin Blvd & Lake St,41.887919,-87.774446,15,6/10/2016
496,Avers Ave & Belmont Ave,41.939448,-87.723554,19,5/13/2015
113,Bissell St & Armitage Ave,41.91844,-87.65222,15,9/5/2013
121,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,19,8/28/2013
129,Blue Island Ave & 18th St,41.857556,-87.661535,15,7/25/2013
295,Broadway & Argyle St,41.972972,-87.659637,15,9/18/2013
300,Broadway & Barry Ave,41.937725,-87.644095,19,9/19/2013
296,Broadway & Belmont Ave,41.940106,-87.645451,15,9/18/2013
294,Broadway & Berwyn Ave,41.978353,-87.659753,15,9/18/2013
303,Broadway & Cornelia Ave,41.945512,-87.64598,15,9/19/2013
454,Broadway & Granville Ave,41.99478,-87.660285,15,5/11/2015
461,Broadway & Ridge Ave,41.984045,-87.660274,15,5/11/2015
256,Broadway & Sheridan Rd,41.952833,-87.649993,15,9/5/2013
458,Broadway & Thorndale Ave,41.989743,-87.660141,19,5/11/2015
304,Broadway & Waveland Ave,41.949546,-87.648674,15,9/19/2013
293,Broadway & Wilson Ave,41.965485,-87.657238,19,9/18/2013
2,Buckingham Fountain,41.872667,-87.623971,35,5/8/2015
468,Budlong Woods Library,41.983665,-87.696423,15,5/6/2015
4,Burnham Harbor,41.856268,-87.613348,23,5/16/2015
348,California Ave & 21st St,41.854016,-87.695445,15,10/14/2013
442,California Ave & 23rd Pl,41.84911,-87.69514,15,4/28/2015
445,California Ave & 26th St,41.84404,-87.695296,19,4/29/2015
502,California Ave & Altgeld St,41.926618,-87.697899,19,5/13/2015
487,California Ave & Byron St,41.952162,-87.698051,19,7/7/2015
216,California Ave & Division St,41.903029,-87.697474,15,8/16/2013
498,California Ave & Fletcher St,41.938429,-87.698008,19,5/4/2015
259,California Ave & Francis Pl,41.918121,-87.696972,15,9/12/2013
378,California Ave & Lake St,41.884454,-87.696298,15,4/27/2015
123,California Ave & Milwaukee Ave,41.922695,-87.697153,15,7/26/2013
481,California Ave & Montrose Ave,41.961068,-87.695439,15,7/7/2015
276,California Ave & North Ave,41.91044,-87.6972,11,9/12/2013
338,Calumet Ave & 18th St,41.857611,-87.619407,15,9/28/2013
370,Calumet Ave & 21st St,41.854184,-87.619154,15,5/1/2015
149,Calumet Ave & 33rd St,41.8349,-87.61793,11,8/3/2013
335,Calumet Ave & 35th St,41.831379,-87.618034,15,10/17/2013
415,Calumet Ave & 51st St,41.802295,-87.618054,19,4/16/2015
393,Calumet Ave & 71st St,41.765508,-87.616918,15,4/21/2015
504,Campbell Ave & Fullerton Ave,41.924632,-87.689307,15,5/21/2015
482,Campbell Ave & Montrose Ave,41.961526,-87.691165,15,5/14/2015
160,Campbell Ave & North Ave,41.910535,-87.689556,15,7/26/2013
192,Canal St & Adams St,41.879255,-87.639904,47,8/7/2013
169,Canal St & Harrison St,41.874337,-87.639566,15,7/23/2013
75,Canal St & Jackson Blvd,41.878412,-87.641052,31,6/15/2013
174,Canal St & Madison St,41.882091,-87.639833,27,7/28/2013
191,Canal St & Monroe St,41.880884,-87.639525,23,8/7/2013
414,Canal St & Taylor St,41.870257,-87.639474,15,11/25/2015
34,Cannon Dr & Fullerton Ave,41.926756,-87.634429,15,6/27/2013
92,Carpenter St & Huron St,41.894556,-87.653449,19,6/26/2013
541,Central Ave & Harrison St,41.872993,-87.764499,15,6/14/2016
542,Central Ave & Madison St,41.880121,-87.763238,15,6/14/2016
500,Central Park Ave & Elbridge Ave,41.935337,-87.716889,15,5/4/2015
508,Central Park Ave & North Ave,41.909657,-87.716632,15,4/30/2015
438,Central Park Ave & Ogden Ave,41.854204,-87.715406,19,4/29/2015
533,Central Park Blvd & 5th Ave,41.875679,-87.71547,15,6/10/2016
474,Christiana Ave & Lawrence Ave,41.968354,-87.711831,15,5/16/2015
538,Cicero Ave & Flournoy St,41.872131,-87.746619,15,6/15/2016
529,Cicero Ave & Lake St,41.886841,-87.745261,15,6/10/2016
539,Cicero Ave & Quincy St,41.877613,-87.745405,15,6/14/2016
196,Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,19,8/10/2013
159,Claremont Ave & Hirsch St,41.907781,-87.685854,11,7/26/2013
312,Clarendon Ave & Gordon Ter,41.957879,-87.649519,15,9/20/2013
245,Clarendon Ave & Junior Ter,41.961004,-87.649603,15,8/26/2013
251,Clarendon Ave & Leland Ave,41.967968,-87.650001,15,8/26/2013
394,Clark St & 9th St (AMLI),41.870816,-87.631246,15,8/26/2015
94,Clark St & Armitage Ave,41.918306,-87.636282,19,6/22/2013
463,Clark St & Berwyn Ave,41.977997,-87.668047,19,5/14/2015
460,Clark St & Bryn Mawr Ave,41.983593,-87.669154,15,5/11/2015
337,Clark St & Chicago Ave,41.896544,-87.630931,19,9/27/2013
449,Clark St & Columbia Ave,42.004451,-87.672402,15,5/12/2015
50,Clark St & Congress Pkwy,41.875933,-87.630585,27,6/16/2013
176,Clark St & Elm St,41.903233,-87.631253,19,8/1/2013
457,Clark St & Elmdale Ave,41.990894,-87.669583,19,5/11/2015
165,Clark St & Grace St,41.95078,-87.659172,19,8/3/2013
38,Clark St & Lake St,41.886021,-87.630876,27,4/18/2015
326,Clark St & Leland Ave,41.967096,-87.667429,11,9/27/2013
141,Clark St & Lincoln Ave,41.915689,-87.6346,23,8/16/2013
432,Clark St & Lunt Ave,42.009069,-87.673711,15,5/15/2015
234,Clark St & Montrose Ave,41.961588,-87.666036,19,8/21/2013
126,Clark St & North Ave,41.911974,-87.631942,15,7/29/2013
51,Clark St & Randolph St,41.884576,-87.63189,31,6/17/2013
301,Clark St & Schiller St,41.907993,-87.631501,19,9/19/2013
453,Clark St & Schreiber Ave,41.999252,-87.671377,15,5/12/2015
353,Clark St & Touhy Ave,42.01256,-87.674367,15,5/18/2015
156,Clark St & Wellington Ave,41.936497,-87.647539,15,8/2/2013
325,Clark St & Winnemac Ave,41.973385,-87.668365,19,9/23/2013
340,Clark St & Wrightwood Ave,41.929546,-87.643118,15,10/24/2013
223,Clifton Ave & Armitage Ave,41.918216,-87.656936,15,8/22/2013
253,Clifton Ave & Lawrence Ave,41.968873,-87.658857,15,9/5/2013
170,Clinton St & 18th St,41.85795,-87.640826,15,7/25/2013
66,Clinton St & Lake St,41.885464,-87.641253,19,6/20/2013
77,Clinton St & Madison St,41.882242,-87.641066,31,6/15/2013
103,Clinton St & Polk St,41.871467,-87.640949,15,5/8/2015
57,Clinton St & Roosevelt Rd,41.867118,-87.641088,15,6/17/2013
68,Clinton St & Tilden St,41.875885,-87.640795,23,6/24/2013
91,Clinton St & Washington Blvd,41.88338,-87.64117,31,6/15/2013
138,Clybourn Ave & Division St,41.904613,-87.640552,15,8/5/2013
195,Columbus Dr & Randolph St,41.884728,-87.619521,31,8/10/2013
518,Conservatory Dr & Lake St,41.885502,-87.716866,15,6/2/2016
417,Cornell Ave & Hyde Park Blvd,41.802406,-87.586924,19,4/16/2015
271,Cottage Grove Ave & 43rd St,41.816499,-87.606582,11,9/12/2013
336,Cottage Grove Ave & 47th St,41.809855,-87.606755,15,10/17/2013
351,Cottage Grove Ave & 51st St,41.803038,-87.606615,15,10/17/2013
427,Cottage Grove Ave & 63rd St,41.780599,-87.606112,19,4/20/2015
429,Cottage Grove Ave & 67th St,41.773721,-87.605635,15,4/21/2015
400,Cottage Grove Ave & 71st St,41.765719,-87.60496,19,4/21/2015
265,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,15,9/17/2013
81,Daley Center Plaza,41.884241,-87.629634,39,6/13/2013
554,Damen Ave & 51st St,41.800908,-87.674684,11,6/17/2016
561,Damen Ave & 61st St,41.783681,-87.674101,11,6/21/2016
183,Damen Ave & Augusta Blvd,41.899714,-87.677234,15,7/26/2013
310,Damen Ave & Charleston St,41.920082,-87.677855,11,9/20/2013
128,Damen Ave & Chicago Ave,41.895769,-87.67722,15,8/3/2013
163,Damen Ave & Clybourn Ave,41.931931,-87.677856,15,7/29/2013
219,Damen Ave & Cortland St,41.916027,-87.677411,11,8/20/2013
167,Damen Ave & Coulter St,41.8492,-87.67564,11,7/25/2013
124,Damen Ave & Cullerton St,41.855048,-87.675726,15,8/3/2013
130,Damen Ave & Division St,41.90331,-87.67695,15,7/26/2013
464,Damen Ave & Foster Ave,41.975615,-87.679459,15,5/13/2015
557,Damen Ave & Garfield Blvd,41.794587,-87.674254,11,6/20/2016
214,Damen Ave & Grand Ave,41.89122,-87.67686,15,8/16/2013
242,Damen Ave & Leland Ave,41.967094,-87.679028,15,8/22/2013
215,Damen Ave & Madison St,41.88137,-87.67493,15,8/15/2013
228,Damen Ave & Melrose Ave,41.9406,-87.6785,11,8/20/2013
546,Damen Ave & Pershing Rd,41.823192,-87.676597,11,6/16/2016
69,Damen Ave & Pierce Ave,41.909396,-87.677692,19,6/24/2013
316,Damen Ave & Sunnyside Ave,41.96325,-87.679258,19,9/25/2013
162,Damen Ave & Wellington Ave,41.93588,-87.67842,15,7/25/2013
60,Dayton St & North Ave,41.910578,-87.649422,19,6/18/2013
140,Dearborn Pkwy & Delaware Pl,41.898969,-87.629912,19,8/1/2013
37,Dearborn St & Adams St,41.879356,-87.629791,19,6/16/2013
110,Dearborn St & Erie St,41.893992,-87.629318,23,8/1/2013
49,Dearborn St & Monroe St,41.88132,-87.629521,27,6/16/2013
107,Desplaines St & Jackson Blvd,41.878287,-87.643909,23,4/25/2015
56,Desplaines St & Kinzie St,41.888716,-87.644448,27,6/17/2013
96,Desplaines St & Randolph St,41.884616,-87.644571,23,4/25/2015
416,Dorchester Ave & 49th St,41.805772,-87.592464,15,4/16/2015
428,Dorchester Ave & 63rd St,41.780406,-87.591416,15,4/20/2015
489,Drake Ave & Addison St,41.946782,-87.716422,23,5/13/2015
503,Drake Ave & Fullerton Ave,41.924399,-87.715441,15,5/1/2015
479,Drake Ave & Montrose Ave,41.961154,-87.716569,11,5/5/2015
6,DuSable Harbor,41.885042,-87.612795,31,4/24/2015
422,DuSable Museum,41.791568,-87.607852,15,7/7/2015
431,Eberhart Ave & 61st St,41.784142,-87.613308,15,4/20/2015
86,Eckhart Park,41.896373,-87.660984,15,6/26/2013
553,Elizabeth St & 47th St,41.80839,-87.656526,11,6/16/2016
418,Ellis Ave & 53rd St,41.799336,-87.600958,11,4/17/2015
420,Ellis Ave & 55th St,41.794301,-87.60145,19,4/17/2015
328,Ellis Ave & 58th St,41.788746,-87.601334,15,9/25/2013
426,Ellis Ave & 60th St,41.785097,-87.601073,19,4/17/2015
315,Elston Ave & Wabansia Ave,41.912919,-87.664169,23,9/21/2013
207,Emerald Ave & 28th St,41.84358,-87.645368,15,8/15/2013
339,Emerald Ave & 31st St,41.838198,-87.645143,11,9/28/2013
570,Evans Ave & 75th St,41.758308,-87.606685,11,6/23/2016
24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15,6/21/2013
436,Fairfield Ave & Roosevelt Rd,41.866624,-87.694521,15,4/27/2015
41,Federal St & Polk St,41.872078,-87.629544,19,4/25/2015
7,Field Blvd & South Water St,41.886349,-87.617517,19,4/18/2015
89,Financial Pl & Congress Pkwy,41.875009,-87.633106,31,5/8/2015
150,Fort Dearborn Dr & 31st St,41.838556,-87.608218,15,7/23/2013
471,Francisco Ave & Foster Ave,41.975633,-87.701419,15,5/14/2015
31,Franklin St & Chicago Ave,41.896802,-87.635638,23,6/22/2013
36,Franklin St & Jackson Blvd,41.877708,-87.635321,31,6/15/2013
164,Franklin St & Lake St,41.885837,-87.6355,23,8/3/2013
287,Franklin St & Monroe St,41.880317,-87.635185,27,9/13/2013
286,Franklin St & Quincy St,41.878724,-87.634793,23,9/14/2013
447,Glenwood Ave & Morse Ave,42.007972,-87.665502,15,5/15/2015
198,Green St & Madison St,41.881892,-87.648789,19,8/10/2013
112,Green St & Randolph St,41.883668,-87.64867,15,7/29/2013
319,Greenview Ave & Diversey Pkwy,41.932595,-87.665939,15,9/26/2013
188,Greenview Ave & Fullerton Ave,41.92533,-87.6658,15,7/29/2013
252,Greenwood Ave & 47th St,41.809835,-87.599383,15,8/27/2013
202,Halsted St & 18th St,41.857499,-87.646277,15,8/15/2013
135,Halsted St & 21st St,41.85378,-87.64665,11,7/24/2013
279,Halsted St & 35th St,41.830661,-87.647172,15,9/13/2013
262,Halsted St & 37th St,41.827059,-87.64572,11,10/1/2013
411,Halsted St & 47th Pl,41.808134,-87.645617,11,4/15/2015
384,Halsted St & 51st St,41.801832,-87.645214,15,4/15/2015
386,Halsted St & 56th St,41.79293,-87.64499,15,4/15/2015
593,Halsted St & 59th St,41.787539,-87.644874,11,6/21/2016
388,Halsted St & 63rd St,41.779381,-87.644621,15,4/21/2015
391,Halsted St & 69th St,41.769062,-87.644614,15,4/21/2015
206,Halsted St & Archer Ave,41.847203,-87.646795,15,8/14/2013
331,Halsted St & Blackhawk St,41.908537,-87.648627,19,9/28/2013
225,Halsted St & Dickens Ave,41.919936,-87.64883,15,8/19/2013
332,Halsted St & Diversey Pkwy,41.933666,-87.648959,20,9/28/2013
282,Halsted St & Maxwell St,41.864883,-87.647071,15,9/13/2013
365,Halsted St & North Branch St,41.899368,-87.64848,15,5/16/2015
108,Halsted St & Polk St,41.87184,-87.64664,19,8/6/2013
55,Halsted St & Roosevelt Rd,41.867324,-87.648625,23,6/17/2013
299,Halsted St & Roscoe St,41.94367,-87.64895,15,9/19/2013
224,Halsted St & Willow St,41.913778,-87.64884,19,8/22/2013
349,Halsted St & Wrightwood Ave,41.929143,-87.649077,15,10/28/2013
220,Hampden Ct & Diversey Pkwy,41.93262,-87.642385,23,8/19/2013
425,Harper Ave & 59th St,41.787943,-87.588315,15,4/17/2015
261,Hermitage Ave & Polk St,41.871514,-87.669886,15,9/5/2013
551,Hoyne Ave & 47th St,41.808227,-87.67718,11,6/17/2016
507,Humboldt Blvd & Armitage Ave,41.917513,-87.701809,19,5/1/2015
372,Humboldt Dr & Luis Munoz Marin Dr,41.900146,-87.702882,15,4/30/2015
147,Indiana Ave & 26th St,41.8457,-87.62248,15,7/23/2013
272,Indiana Ave & 31st St,41.838842,-87.621857,11,9/12/2013
201,Indiana Ave & 40th St,41.82168,-87.6216,15,8/14/2013
255,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,31,9/5/2013
73,Jefferson St & Monroe St,41.880422,-87.642746,19,6/27/2013
352,Jeffery Blvd & 67th St,41.773518,-87.577143,15,4/22/2015
11,Jeffery Blvd & 71st St,41.766638,-87.57645,11,4/22/2015
395,Jeffery Blvd & 76th St,41.75712,-87.575839,15,4/23/2015
439,Kedzie Ave & 21st St,41.853534,-87.705073,15,4/28/2015
441,Kedzie Ave & 24th St,41.848191,-87.705414,15,4/29/2015
494,Kedzie Ave & Bryn Mawr Ave,41.982397,-87.708923,15,5/18/2015
373,Kedzie Ave & Chicago Ave,41.895465,-87.706128,15,4/29/2015
470,Kedzie Ave & Foster Ave,41.975672,-87.709261,15,5/6/2015
433,Kedzie Ave & Harrison St,41.8736,-87.704871,15,4/28/2015
377,Kedzie Ave & Lake St,41.884603,-87.706304,19,4/29/2015
476,Kedzie Ave & Leland Ave,41.966686,-87.708052,15,5/5/2015
260,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,19,9/17/2013
480,Kedzie Ave & Montrose Ave,41.96199,-87.708168,15,5/5/2015
290,Kedzie Ave & Palmer Ct,41.921525,-87.707322,15,10/9/2013
435,Kedzie Ave & Roosevelt Rd,41.866493,-87.706496,15,4/28/2015
483,Keeler Ave & Irving Park Rd,41.953858,-87.73257,19,5/6/2015
537,Kenton Ave & Madison St,41.880708,-87.741018,15,6/10/2016
495,Keystone Ave & Montrose Ave,41.961108,-87.72897,15,5/16/2015
497,Kimball Ave & Belmont Ave,41.939398,-87.711561,23,5/2/2015
322,Kimbark Ave & 53rd St,41.799568,-87.594747,19,9/21/2013
74,Kingsbury St & Erie St,41.893882,-87.641711,23,6/14/2013
133,Kingsbury St & Kinzie St,41.889177,-87.638506,27,4/25/2015
499,Kosciuszko Park,41.930585,-87.723777,15,5/1/2015
545,Kostner Ave & Adams St,41.877917,-87.735737,15,6/15/2016
536,Kostner Ave & Lake St,41.885928,-87.73541,15,6/13/2016
406,Lake Park Ave & 35th St,41.831274,-87.608799,19,4/14/2015
267,Lake Park Ave & 47th St,41.809443,-87.591875,15,9/17/2013
419,Lake Park Ave & 53rd St,41.799494,-87.58645,15,4/16/2015
345,Lake Park Ave & 56th St,41.793242,-87.587782,19,10/9/2013
334,Lake Shore Dr & Belmont Ave,41.940775,-87.639192,19,9/27/2013
329,Lake Shore Dr & Diversey Pkwy,41.932684,-87.63625,15,9/25/2013
76,Lake Shore Dr & Monroe St,41.880958,-87.616743,39,6/24/2013
268,Lake Shore Dr & North Blvd,41.911722,-87.626804,39,9/12/2013
99,Lake Shore Dr & Ohio St,41.89257,-87.614492,19,7/15/2013
157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,15,8/1/2013
459,Lakefront Trail & Bryn Mawr Ave,41.984037,-87.65231,19,5/11/2015
313,Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,19,9/20/2013
543,Laramie Ave & Gladys Ave,41.875806,-87.755285,15,6/14/2016
530,Laramie Ave & Kinzie St,41.887832,-87.755527,15,6/13/2016
540,Laramie Ave & Madison St,41.88051,-87.753933,15,6/14/2016
288,Larrabee St & Armitage Ave,41.918084,-87.643749,11,9/13/2013
359,Larrabee St & Division St,41.903486,-87.643353,19,5/2/2015
48,Larrabee St & Kingsbury St,41.897764,-87.642884,27,6/16/2013
28,Larrabee St & Menomonee St,41.91468,-87.64332,15,6/22/2013
